,is_trading_day,btc_holdings,btc_price,preferred_shares,dividend_reserve,quarterly_dividend,shares_outstanding,btc_purchased,stock_price,volume,mnav,market_cap,weekly_revenue
2025-09-04,True,2440.0,110723.6015625,0,0.0,0.0,274683205.0,0.0,1.4342603148033788,3727647.5981878,1.458243528587074,2430604693.9189086,0.0
2025-09-05,True,2440.0,110650.984375,0,0.0,0.0,274683205.0,0.0,1.400867017176231,3940498.8689900436,1.4252265630095862,2429010601.292712,0.0
2025-09-06,False,2440.0,110224.6953125,0,0.0,0.0,274683205.0,0.0,1.400867017176231,0.0,1.397214553114804,2419652703.0518937,0.0
2025-09-07,False,2440.0,111167.6171875,0,0.0,0.0,274683205.0,0.0,1.400867017176231,0.0,1.377995652395461,2440351725.6905327,0.0
2025-09-08,True,2440.0,112071.4296875,0,0.0,0.0,274683205.0,0.0,1.3129541238775753,3694767.807724175,1.3188546020812828,2460192219.261206,0.0
2025-09-09,True,2440.0,111530.546875,0,0.0,0.0,274683205.0,0.0,1.268343156774251,3263542.5439403313,1.2802217996429865,2448318758.8212433,0.0
2025-09-10,True,2440.0,111530.546875,0,0.0,0.0,274683205.0,0.0,1.2472793194730187,3274597.3955345443,1.2589606893881298,2448318758.8212433,235415.26527127338
2025-09-11,True,2440.0,113940.3203125,0,0.0,0.0,274683205.0,0.0,1.2412749052060945,3454339.9054228356,1.2264019124903836,2501218109.509022,240501.74129894446
2025-09-12,True,2440.0,113940.3203125,0,0.0,0.0,274683205.0,0.0,1.186781751789017,3037598.7029243154,1.1725616976531716,2501218109.509022,240501.74129894446
2025-09-13,False,2440.0,122175.06829284178,0,0.0,0.0,274683205.0,0.0,1.186781751789017,0.0,1.2145777583158883,2681987311.4840856,257883.39533500822
2025-09-14,False,2440.0,124186.30310078639,0,0.0,0.0,274683205.0,0.0,1.186781751789017,0.0,1.1997004488502534,2726137941.483272,262128.6482195454
2025-09-15,True,2440.0,112845.68323315913,0,0.0,0.0,274683205.0,0.0,1.20996885975519,3611325.954446878,1.2070674051635766,2477188634.441037,238191.21485009973
2025-09-16,True,2446.182405051911,120213.40605626965,0,0.0,0.0,275278235.03026444,6.1824050519107585,1.249025983746384,2975150.1513221925,1.1696632652858292,2638924898.657817,253742.77871709777
2025-09-17,True,2446.182405051911,121425.42683293969,0,0.0,0.0,275278235.03026444,0.0,1.2383641788582453,3204999.3286555596,1.1476825523536067,2672285030.623456,256950.48371379386
2025-09-18,True,2446.182405051911,124286.7911147782,0,0.0,0.0,275278235.03026444,0.0,1.2622422070207693,3014422.611381718,1.142880334159441,2735256857.340094,263005.4670519321
